name,price,datetime
Power Star x5,19999,2025-02-16T04:45:33
Power Star x5,19999,2025-02-16T04:45:33
Kat Tribe Fetish,19999,2025-02-16T04:44:49
Divine Star x5,19999,2025-02-16T04:43:53
Divine Star x5,19999,2025-02-16T04:43:53
Kat Tribe Fetish,17777,2025-02-16T04:43:53
Flame Soul x10,4000,2025-02-16T04:40:33
Philoso Feather x8,3200,2025-02-16T04:40:33
Crest of Ur,500,2025-02-16T04:40:33
Royal Core,500,2025-02-16T04:40:33
Flame Soul x7,2800,2025-02-16T04:39:49
Reaper Rib x10,4000,2025-02-16T04:39:49
Reaper Rib x10,4000,2025-02-16T04:39:49
Graviton Bomb Recipe,14000,2025-02-16T04:33:09
Divine Star,2500,2025-02-16T04:28:53
Divine Star,2500,2025-02-16T04:28:53
Divine Star,2500,2025-02-16T04:28:09
Blast Powder,2,2025-02-16T03:28:10
Silver Lockbox,10000,2025-02-16T03:10:33
Avenger Recipe,13500,2025-02-16T03:08:09
Graviton Bomb Recipe,14000,2025-02-16T03:06:29
Unstable Core,20,2025-02-16T02:45:33
Phial of Phear,50,2025-02-16T02:43:53
Iron Gear x2,75,2025-02-16T02:42:13
Beast Scale,20,2025-02-16T02:40:33
Brute Core,20,2025-02-16T02:40:33
Brandish,400000,2025-02-16T02:17:13
Autogun,400000,2025-02-16T02:12:13
Autogun,2480,2025-02-16T02:11:29
Autogun,1260,2025-02-16T02:10:33
Power Star x4,7000,2025-02-16T02:06:32
Silver Lockbox,2900,2025-02-16T02:01:30
Silver Lockbox,2900,2025-02-16T02:01:30
Silver Lockbox,2700,2025-02-16T02:01:30
Slumber Headband,9999,2025-02-16T01:20:33
Toasty Cat Tail,219999,2025-02-16T01:20:33
Celestial Spike Mohawk,19999,2025-02-16T01:19:49
Gold Lockbox,14999,2025-02-16T01:18:53
Toasty Node Slime Mask,19999,2025-02-16T01:15:33
Dusky Node Slime Mask,19999,2025-02-16T01:14:49
Grim Repeater Recipe,35000,2025-02-16T01:11:29
Punkin Cinnamug,399999,2025-02-16T00:39:49
Wooly Pullover,125000,2025-02-16T00:38:53
Silver Lockbox,5000,2025-02-16T00:26:30
Twisted Snarble Barb,78787,2025-02-16T00:18:10
Heavy Party Hat,8989,2025-02-16T00:15:33
Dangerous Oni Helm,159999,2025-02-16T00:13:53
Jack o' Bombhead Mask,9999,2025-02-16T00:13:53
Hallow Wide Vee,4545,2025-02-16T00:13:10
Crest of Almire Recipe,34599,2025-02-16T00:09:49
Brandish,400000,2025-02-16T00:06:30
Sapphire Crown,319999,2025-02-16T00:04:49
Mod Calibrator,20000,2025-02-15T23:55:33
Brandish,40000,2025-02-15T23:47:13
Reaper Rib,6000,2025-02-15T22:44:50
Shadow Star,1700,2025-02-15T22:25:33
Hallow Cloak,5000,2025-02-15T22:18:53
Gilded Griffin Recipe,30000,2025-02-15T21:11:28
Dangerous Oni Helm,100000,2025-02-15T20:48:53
Magic Cloak,2555,2025-02-15T20:39:50
Autogun,1777,2025-02-15T20:37:13
Autogun,1777,2025-02-15T20:37:13
Autogun,1777,2025-02-15T20:37:13
Autogun,1666,2025-02-15T20:37:13
Brandish,1111,2025-02-15T20:37:13
Brandish,1111,2025-02-15T20:37:13
Brandish,1111,2025-02-15T20:37:13
Magic Cloak,2555,2025-02-15T20:35:33
Tundrus Recipe,8000,2025-02-15T20:34:50
Magic Cloak,2555,2025-02-15T20:33:53
Shadow Star x10,17000,2025-02-15T20:16:28
Vile Seal x5,2000,2025-02-15T18:51:29
Light Shard x20,1000,2025-02-15T18:51:29
Reaper Rib,6000,2025-02-15T18:51:29
Owlite Feather x4,3000,2025-02-15T18:45:33
Dead Gold x3,4000,2025-02-15T18:44:48
Ghost Bell x2,5000,2025-02-15T18:43:08
Fancy Snow Hat,260000,2025-02-15T18:42:12
Elite Orb of Alchemy,10000,2025-02-15T18:11:28
