name,price,datetime
Shadow Mote,150,2025-04-14T07:46:09
Frosty Scale Mail,1800,2025-04-14T07:16:09
Divine Orb x3,3990,2025-04-14T04:44:28
Advanced Orb of Alchemy,4500,2025-04-14T02:09:28
Divine Star,2000,2025-04-14T01:52:48
Schemer Scrap,10000,2025-04-14T01:49:28
Platinum Lockbox,10000,2025-04-13T23:52:48
Stellar Sentinel Helm,30000,2025-04-13T23:07:48
Dusky Stranger Robe,40000,2025-04-13T18:57:48
Argent Peacemaker Recipe,35000,2025-04-13T17:37:48
Kilowatt Pulsar Recipe,7000,2025-04-13T17:36:08
Advanced Orb of Alchemy,4500,2025-04-13T17:24:28
Advanced Orb of Alchemy,4500,2025-04-13T17:24:28
Flawed Orb of Alchemy x3,1300,2025-04-13T17:22:49
Toasty Node Slime Guards,5000,2025-04-13T17:14:28
Military Field Cap,2000,2025-04-13T17:14:28
Regal Plumed Cap,2000,2025-04-13T17:14:28
Military Node Slime Mask,5000,2025-04-13T16:52:10
Monster Bone,200,2025-04-13T16:33:50
Monster Bone,200,2025-04-13T16:33:50
Monster Bone,299,2025-04-13T15:52:10
Mega Tundrus Recipe,15000,2025-04-13T12:48:50
Gigawatt Pulsar Recipe,14500,2025-04-13T12:48:50
Winter Grave Recipe,35000,2025-04-13T12:48:50
Dangerous Oni Helm,90000,2025-04-13T10:55:30
Dangerous Ribbon,40000,2025-04-13T10:53:50
Dangerous Mohawk,100000,2025-04-13T10:48:50
Fusion Blaster Recipe,12345,2025-04-13T08:00:30
Shadow Mote x9,800,2025-04-13T06:43:50
Blighted Bone,400,2025-04-13T06:18:50
Electron Vortex,499999,2025-04-13T05:29:29
Avenger Recipe,9999,2025-04-13T05:08:49
Flame Soul,799,2025-04-13T04:43:49
Monster Bone,299,2025-04-13T04:42:10
Primal Ore,1333,2025-04-13T04:42:10
Tundrus Recipe,6000,2025-04-13T04:09:28
Platinum Lockbox,10000,2025-04-13T03:10:29
Voltaic Radical Mask,320000,2025-04-13T03:08:49
Volcanic Knight Vision Goggles,50000,2025-04-13T02:58:49
Nightmare Mane,11000,2025-04-13T02:49:28
Nightmare Mane,11000,2025-04-13T02:49:28
Celestial Ore,10000,2025-04-13T02:47:48
Brandish,1111,2025-04-13T02:38:49
Magic Hood,2555,2025-04-13T02:37:09
Wolver Cap,2555,2025-04-13T02:37:09
Wolver Cap,3999,2025-04-13T02:37:09
Wolver Coat,3999,2025-04-13T02:37:09
Power Stone x5,7500,2025-04-13T02:22:48
Tundrus,14000,2025-04-13T02:12:09
Platinum Lockbox,17500,2025-04-13T01:50:29
Grinchlin Snowball,666,2025-04-13T01:22:48
